id,redacted_text,redacted_cases,total_duration_seconds,created_at,model
165761,A student's assessment was found on device bearing IMEI: <IDENTIFICATION_1>. The document falls under the various topics discussed in our Optimization curriculum. Can you please collect it?,"[{'text': '06-184755-866851-3', 'placeholder': '<IDENTIFICATION_1>', 'type': 'identification_number', 'confidence': 0.99}]",10.53,2025-04-14T21:25:25.866937-07:00,redaction-model-fs:12b
165762,"Dear <NAME_1>, as per our records, your license <IDENTIFICATION_1> is still registered in our records for access to the educational tools. Please feedback on it's operability.","[{'text': 'Omer', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '78B5R2MVFAHJ48500', 'placeholder': '<IDENTIFICATION_1>', 'type': 'identification_number', 'confidence': 0.98}]",7.5,2025-04-14T21:25:33.381273-07:00,redaction-model-fs:12b
165763,<NAME_1> could you please share your recomndations about vegetarian diet for <AGE_1> <GENDER_1> person with <HEIGHT_1>?,"[{'text': 'Kattie', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '72', 'placeholder': '<AGE_1>', 'type': 'date', 'confidence': 0.98}, {'text': 'Intersex', 'placeholder': '<GENDER_1>', 'type': 'gender', 'confidence': 0.95}, {'text': '158centimeters', 'placeholder': '<HEIGHT_1>', 'type': 'measurement', 'confidence': 0.96}]",9.2,2025-04-14T21:25:42.598086-07:00,redaction-model-fs:12b
165764,Emergency supplies in <ZIP_1> need a refill. Use <CREDIT_CARD_1> to pay for them.,"[{'text': '16356', 'placeholder': '<ZIP_1>', 'type': 'zip_code', 'confidence': 0.99}, {'text': '5890724654311332', 'placeholder': '<CREDIT_CARD_1>', 'type': 'credit_card', 'confidence': 0.99}]",7.34,2025-04-14T21:25:49.948252-07:00,redaction-model-fs:12b
165765,"The <AGE_1> old child at <ADDRESS_1>, has showcased an unusual ability to remember and recite <PASSWORD_1>, with <PASSWORD_1> being most repeated.","[{'text': '88', 'placeholder': '<AGE_1>', 'type': 'age', 'confidence': 0.99}, {'text': '5862', 'placeholder': '<ADDRESS_1>', 'type': 'address', 'confidence': 0.98}, {'text': 'Y2rWliOhf8Ir', 'placeholder': '<PASSWORD_1>', 'type': 'password', 'confidence': 0.97}, {'text': 'Y2rWliOhf8Ir', 'placeholder': '<PASSWORD_1>', 'type': 'password', 'confidence': 0.97}]",9.68,2025-04-14T21:25:59.636313-07:00,redaction-model-fs:12b
165766,Your recent hospital data recorded on <DATE_1> regarding chronic disease management has been encrypted with <IP_ADDRESS_1> for enhanced privacy.,"[{'text': '29/12/1957', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.99}, {'text': 'edaf:fd8f:e1e8:cfec:8bab:1afd:6aad:550c', 'placeholder': '<IP_ADDRESS_1>', 'type': 'ip_address', 'confidence': 0.98}]",7.63,2025-04-14T21:26:07.271086-07:00,redaction-model-fs:12b
165767,"Dear <NAME_1>, Let's clear this misunderstanding. We never send an email asking for <PASSWORD_1>. If you get one, it's not from us. Please secure your account. If you already gave out your <PASSWORD_1>, change it immediately.","[{'text': 'Trans male', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.98}, {'text': 'E5_N8G2xWM6D', 'placeholder': '<PASSWORD_1>', 'type': 'password', 'confidence': 0.99}]",7.74,2025-04-14T21:26:15.015258-07:00,redaction-model-fs:12b
165768,"The wellness portal is accessible at <COORDINATES_1>. With numerous wellness tracks suitable for everyone in the family, enrol now! Contact us at <PASSWORD_1> for further details.","[{'text': '[-71.6702,-107.6572]', 'placeholder': '<COORDINATES_1>', 'type': 'coordinates', 'confidence': 0.99}, {'text': 'Mozilla/5.0 (Macintosh; PPC Mac OS X 10.7.5; rv:12.5) Gecko/20100101 Firefox/12.5.9', 'placeholder': '<PASSWORD_1>', 'type': 'password', 'confidence': 0.98}]",8.66,2025-04-14T21:26:23.689575-07:00,redaction-model-fs:12b
165769,"<NAME_1>, the new interactive educational tools are set to arrive at <COORDINATES_1>. Your password for accessing online content: <PASSWORD_1>.","[{'text': 'Carleton', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '[-38.9302,113.5422]', 'placeholder': '<COORDINATES_1>', 'type': 'coordinates', 'confidence': 0.98}, {'text': 'yZqd7gHyZq91', 'placeholder': '<PASSWORD_1>', 'type': 'password', 'confidence': 0.99}]",8.71,2025-04-14T21:26:32.410141-07:00,redaction-model-fs:12b
165770,"1. Customer query received at <TIME_1> from Human Group Coordinator of <CITY_1> based firm. The customer's email is <EMAIL_1>. Use our account number <ACCOUNT_1> for all financial exchanges. For personal discussions, ensure privacy with PIN - <PIN_1> and <ATTRIBUTE_1> - <ATTRIBUTE_VALUE_1>.","[{'text': '10:18 PM', 'placeholder': '<TIME_1>', 'type': 'time', 'confidence': 0.99}, {'text': 'Cleveland', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.97}, {'text': 'Emilie_Beatty53@hotmail.com', 'placeholder': '<EMAIL_1>', 'type': 'email', 'confidence': 0.98}, {'text': '63652332', 'placeholder': '<ACCOUNT_1>', 'type': 'account', 'confidence': 0.96}, {'text': '8824', 'placeholder': '<PIN_1>', 'type': 'pin', 'confidence': 0.99}, {'text': 'EYECOLOR', 'placeholder': '<ATTRIBUTE_1>', 'type': 'attribute', 'confidence': 0.95}, {'text': 'Eye color: Brown', 'placeholder': '<ATTRIBUTE_VALUE_1>', 'type': 'attribute_value', 'confidence': 0.92}]",14.32,2025-04-14T21:26:46.743280-07:00,redaction-model-fs:12b
165771,I'm <NAME_1>. I will be picking up the test results for <NAME_2>. We've been assigned number <IDENTIFICATION_1> for identification.,"[{'text': 'Garrick Murray', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'Leuschke', 'placeholder': '<NAME_2>', 'type': 'name', 'confidence': 0.98}, {'text': '2191941526453503', 'placeholder': '<IDENTIFICATION_1>', 'type': 'identification_number', 'confidence': 0.99}]",8.51,2025-04-14T21:26:55.264149-07:00,redaction-model-fs:12b
165772,"Dear <NAME_1>, As our National Brand Architect, we need you to conduct an internal audit of our Usability operations, specifically focused on our compliance with Administrative Law. Please use the data from the <IP_1> and <IP_2> IP addresses in the investigation.","[{'text': 'Carmen', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '109.4.61.213', 'placeholder': '<IP_1>', 'type': 'ip_address', 'confidence': 0.98}, {'text': '4d36:f8ad:4ebd:1bff:c5eb:62aa:b4d7:dddf', 'placeholder': '<IP_2>', 'type': 'ip_address', 'confidence': 0.97}]",9.71,2025-04-14T21:27:04.981534-07:00,redaction-model-fs:12b
165773,"Cardiac consult reminder for <NAME_1> on <DATE_1> at <TIME_1>. Commute to our clinic at <ADDRESS_1>, <CITY_1> near <COORDINATES_1>.","[{'text': 'Stephen', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': '10/03/1976', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.98}, {'text': '4:40 AM', 'placeholder': '<TIME_1>', 'type': 'time', 'confidence': 0.96}, {'text': 'S Broadway 61915', 'placeholder': '<ADDRESS_1>', 'type': 'address', 'confidence': 0.97}, {'text': 'Port Diegostead', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.95}, {'text': '[-56.5612,-68.9245]', 'placeholder': '<COORDINATES_1>', 'type': 'coordinates', 'confidence': 0.99}]",12.46,2025-04-14T21:27:17.450257-07:00,redaction-model-fs:12b
165774,"<NAME_1>, our office in <CITY_1> confirmed your visit with health psychologist at <TIME_1>. Your file with ID <ID_1> is updated.","[{'text': 'Ms.North', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'Essex', 'placeholder': '<CITY_1>', 'type': 'city', 'confidence': 0.97}, {'text': '10:02 AM', 'placeholder': '<TIME_1>', 'type': 'time', 'confidence': 0.95}, {'text': '04-558619-832604-8', 'placeholder': '<ID_1>', 'type': 'identification', 'confidence': 0.98}]",9.63,2025-04-14T21:27:27.086580-07:00,redaction-model-fs:12b
165775,"<NAME_1>, we have forwarded your credentials to the Orthopedics division. They are expecting your arrival <DATE_1>.","[{'text': 'Miss Emory', 'placeholder': '<NAME_1>', 'type': 'name', 'confidence': 0.99}, {'text': 'tomorrow', 'placeholder': '<DATE_1>', 'type': 'date', 'confidence': 0.95}]",6.66,2025-04-14T21:27:33.761051-07:00,redaction-model-fs:12b
165776,"To facilitate your payments for treatment, the hospital accepts transactions from cards issued by discover bearing numbers like <CREDIT_CARD_1>.","[{'text': '2948447876023997', 'placeholder': '<CREDIT_CARD_1>', 'type': 'credit_card', 'confidence': 0.99}]",6.17,2025-04-14T21:27:39.943437-07:00,redaction-model-fs:12b
